Scanner

TOKEN(INCLUDE, "#include <stdio.h>")
TOKEN(ID, "int")
TOKEN(ID, "main")
TOKEN(LPAREN, "(")
TOKEN(RPAREN, ")")
TOKEN(LBRACE, "{")
TOKEN(ID, "int")
TOKEN(ID, "a")
TOKEN(ASSIGN, "=")
TOKEN(NUM, "10")
TOKEN(SEMICOL, ";")
TOKEN(UNSIGNED, "unsigned")
TOKEN(ID, "int")
TOKEN(ID, "b")
TOKEN(ASSIGN, "=")
TOKEN(NUM, "20")
TOKEN(SEMICOL, ";")
TOKEN(ID, "float")
TOKEN(ID, "c")
TOKEN(ASSIGN, "=")
TOKEN(FLOAT_NUM, "3.5")
TOKEN(SEMICOL, ";")
TOKEN(ID, "float")
TOKEN(ID, "d")
TOKEN(ASSIGN, "=")
TOKEN(FLOAT_NUM, "2.0")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int + int = %d\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(PLUS, "+")
TOKEN(ID, "a")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int - int = %d\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(MINUS, "-")
TOKEN(ID, "a")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int * int = %d\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(MUL, "*")
TOKEN(ID, "a")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""int / int = %d\n"")
TOKEN(COMA, ",")
TOKEN(ID, "a")
TOKEN(DIV, "/")
TOKEN(ID, "a")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned + unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(PLUS, "+")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned - unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(MINUS, "-")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned * unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(MUL, "*")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(PRINTF, "printf")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""unsigned / unsigned = %u\n"")
TOKEN(COMA, ",")
TOKEN(ID, "b")
TOKEN(DIV, "/")
TOKEN(ID, "b")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
